,Main_food_description,Type,Price_($),Calories_kCal,Carbohydrate_g,Fiber_g,Protein_g,Calcium_mg,Copper_mg,Iron_mg,Phosphorus_mg,Zinc_mg,Potassium_mg,Sodium_mg,Vitamin_A_mg,Vitamin_C_mg,Vitamin_D_microg,Vitamin_E_mg,Niacin_mg,Vitamin_B6_mg,Folate_microg,Choline_mg,Sugar_g,Lipid_g,Marco_Diet
40,"CANTALOUPE (MUSKMELON), RAW",Fruit,0.40,34.00,8.16,0.90,0.84,9.00,0.04,0.21,15.00,0.18,267.00,16.00,3382.00,36.70,0.00,0.05,0.73,0.07,21.00,7.60,7.86,0.19,1.50
41,"ORANGE JUICE, FRESHLY SQUEEZED",Fruit,0.14,45.00,10.40,0.20,0.70,11.00,0.04,0.20,17.00,0.05,200.00,1.00,200.00,50.00,0.00,0.04,0.40,0.04,30.00,6.20,8.40,0.20,0.00
42,PORK,Meats,1.15,134.00,0.00,0.00,21.20,13.00,0.08,0.82,216.00,2.21,363.00,59.00,2.00,0.20,0.50,0.17,5.57,0.64,2.00,49.90,0.00,4.86,0.00
43,"ASPARAGUS, RAW",Vegetables,1.02,20.00,3.88,2.10,2.20,24.00,0.19,2.14,52.00,0.54,202.00,2.00,756.00,5.60,0.00,1.13,0.98,0.09,52.00,16.00,1.88,0.12,0.00
44,"CABBAGE, GREEN, RAW",Vegetables,0.15,25.00,5.80,2.50,1.28,40.00,0.02,0.47,26.00,0.18,170.00,18.00,98.00,36.60,0.00,0.15,0.23,0.12,43.00,10.70,3.20,0.10,0.00
45,"CARROTS, RAW",Vegetables,0.32,41.00,9.58,2.80,0.93,33.00,0.05,0.30,35.00,0.24,320.00,69.00,16706.00,5.90,0.00,0.66,0.98,0.14,19.00,8.80,4.74,0.24,0.50
46,"CAULIFLOWER, RAW",Vegetables,0.95,25.00,4.97,2.00,1.92,22.00,0.04,0.42,44.00,0.27,299.00,30.00,0.00,48.20,0.00,0.08,0.51,0.18,57.00,44.30,1.91,0.28,0.00
47,"CELERY, RAW",Vegetables,0.32,16.00,2.97,1.60,0.69,40.00,0.04,0.20,24.00,0.13,260.00,80.00,449.00,3.10,0.00,0.27,0.32,0.07,36.00,6.10,1.83,0.17,0.00
48,"CORN, RAW",Vegetables,0.83,86.00,18.70,2.00,3.27,2.00,0.05,0.52,89.00,0.46,270.00,15.00,187.00,6.80,0.00,0.07,1.77,0.09,42.00,23.00,6.26,1.35,0.00
49,"CUCUMBER, RAW",Vegetables,0.36,15.00,3.63,0.50,0.65,16.00,0.04,0.28,24.00,0.20,147.00,2.00,105.00,2.80,0.00,0.03,0.10,0.04,7.00,6.00,1.67,0.11,0.50
50,EGGPLANT,Vegetables,0.53,25.00,5.88,3.00,0.98,9.00,0.08,0.23,24.00,0.16,229.00,2.00,23.00,2.20,0.00,0.30,0.65,0.08,22.00,6.90,3.53,0.18,0.00
51,"GARLIC, RAW",Vegetables,0.94,149.00,33.06,2.10,6.36,181.00,0.30,1.70,153.00,1.16,401.00,17.00,9.00,31.20,0.00,0.08,0.70,1.24,3.00,23.20,1.00,0.50,0.00
52,"LETTUCE, RAW",Vegetables,0.27,17.00,3.29,2.10,1.23,33.00,0.05,0.97,30.00,0.23,247.00,8.00,8710.00,4.00,0.00,0.13,0.31,0.07,136.00,9.90,1.19,0.30,0.00
53,"ONION, RAW",Vegetables,0.20,40.00,9.34,1.70,1.10,23.00,0.04,0.21,29.00,0.17,146.00,4.00,2.00,7.40,0.00,0.02,0.12,0.12,19.00,6.10,4.24,0.10,0.00
54,"POTATO, RAW",Vegetables,0.11,77.00,17.47,2.20,2.02,12.00,0.11,0.78,57.00,0.29,421.00,6.00,2.00,19.70,0.00,0.01,1.05,0.30,16.00,12.10,0.78,0.09,0.00
55,"SPINACH, RAW",Vegetables,0.82,23.00,3.63,2.20,2.86,99.00,0.13,2.71,49.00,0.53,558.00,79.00,9377.00,28.10,0.00,2.03,0.72,0.20,194.00,19.30,0.42,0.39,0.50
56,TOMATO CATSUP,Others,0.22,112.00,26.23,0.30,1.25,16.00,0.13,0.41,28.00,0.24,315.00,907.00,513.00,4.10,0.00,1.46,1.43,0.16,9.00,12.50,21.71,0.18,0.00
57,"MCDONALD'S, BIG MAC",Fast Food,0.36,257.00,20.08,1.60,11.82,116.00,0.10,2.00,122.00,1.91,181.00,460.00,188.00,0.40,0.00,0.00,3.38,0.17,46.00,31.50,3.97,14.96,0.00
58,"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,REG CRUST",Fast Food,1.00,266.00,33.33,2.30,11.39,188.00,0.11,2.48,216.00,1.34,172.00,598.00,358.00,1.40,0.00,0.83,3.83,0.08,93.00,16.40,3.58,9.69,0.00
59,"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,THIN CRUST",Fast Food,1.00,302.00,31.20,2.50,12.85,288.00,0.10,1.71,295.00,1.59,199.00,742.00,376.00,3.00,0.00,1.29,2.60,0.07,96.00,18.90,3.61,13.95,0.00
60,SPAGHETTI,Entrees,0.28,158.00,30.86,1.80,5.80,7.00,0.10,1.28,58.00,0.51,44.00,1.00,0.00,0.00,0.00,0.06,1.69,0.05,73.00,6.40,0.56,0.93,0.00
61,"QUINOA, COOKED",Entrees,0.61,120.00,21.30,2.80,4.40,17.00,0.19,1.49,152.00,1.09,172.00,7.00,5.00,0.00,0.00,0.63,0.41,0.12,42.00,23.00,0.87,1.92,2.50
62,"POTATOES, CHIPS",Entrees,0.86,150.00,23.96,2.00,2.34,13.00,0.08,0.62,81.00,0.34,380.00,349.00,4.00,7.70,0.00,0.10,2.14,0.20,31.00,19.20,0.21,4.99,0.00
63,"RICE, WHITE",Entrees,0.05,365.00,79.95,1.30,7.13,28.00,0.22,4.31,115.00,1.09,115.00,5.00,0.00,0.00,0.00,0.11,4.19,0.16,231.00,5.80,0.12,0.66,0.00
64,CHEERIOS,Cereals,0.85,378.00,73.23,9.40,12.09,401.00,0.39,33.17,481.00,16.73,641.00,497.00,3299.00,21.60,3.40,0.65,20.97,2.39,714.00,26.20,4.36,6.73,0.00
65,"BREAD, WHITE",Bread,0.28,265.00,49.06,2.70,9.15,260.00,0.12,3.59,103.00,0.84,115.00,491.00,1.00,0.00,0.00,0.22,4.78,0.09,111.00,14.60,5.07,3.19,1.00
66,"BREAD, GARLIC",Bread,0.60,252.00,42.71,6.00,12.45,161.00,0.23,2.47,212.00,1.77,254.00,455.00,3.00,0.00,0.00,2.66,4.44,0.22,42.00,27.20,4.34,3.50,0.00
67,"COOKIE, CHOCOLATE CHIP",Others,0.45,490.00,65.76,2.00,5.07,21.00,0.32,5.48,111.00,0.71,169.00,307.00,1.00,0.00,0.00,2.11,2.71,0.06,72.00,10.50,33.08,24.28,0.00
68,CHEESECAKE,Others,0.54,321.00,25.50,0.40,5.50,51.00,0.02,0.63,93.00,0.51,90.00,438.00,547.00,0.40,0.50,0.56,0.20,0.05,18.00,45.90,21.80,22.50,1.50
69,"FISH, SALMON",Fish,1.38,131.00,0.00,0.00,20.08,10.00,0.08,0.56,170.00,0.33,302.00,52.00,0.00,0.00,3.10,0.40,3.90,0.16,24.00,42.50,0.00,1.70,0.00
70,"FISH, TUNA",Fish,2.70,144.00,0.00,0.00,23.33,8.00,0.09,1.02,254.00,0.60,252.00,39.00,2183.00,0.00,5.70,1.00,8.65,0.46,2.00,65.00,0.00,4.90,0.00
